"lang"
{
	"Language"		"SChinese"
	"Tokens"
	{	
		

"DOTA_Tooltip_ability_item_random_get_ability"	"随机获得技能"
"DOTA_Tooltip_modifier_power_boss"	"能力提升"
"game_mode_endless_enabled"			"无尽模式激活"
"game_mode_endless_begin"			"无尽模式开始"
"game_mode_mana_enabled"			"无蓝耗模式激活"
"game_mode_double_monsters_enabled"			"怪物数量翻倍"
"game_mode_single_player"				"单人模式"
"DOTA_Tooltip_modifier_gm_single_fort"	"单人模式"
"DOTA_Tooltip_modifier_mjz_zero_mana"	"无蓝耗模式"
"DOTA_Tooltip_modifier_mjz_zero_mana_alone"	"无蓝耗"
"DOTA_Tooltip_modifier_mjz_zero_mana_alone_Description"	"不推荐。"
"npc_dota_tower_rock_golem"			"岩石傀儡"
"DOTA_Tooltip_ability_golden_mine_passive"								"利是钱"
"DOTA_Tooltip_ability_golden_mine_passive_Description"					"^_^o~ 努力！奋斗！"
"DOTA_Tooltip_ability_golden_mine_passive_exp"							"经验获取："
"DOTA_Tooltip_ability_golden_mine_passive_gold"							"金钱获取："
"DOTA_Tooltip_ability_golden_mine_passive_interval"						"时间间隔："
"DOTA_Tooltip_modifier_golden_mine_buff"								"利是钱"	
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift"				    "黑暗之门"
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_Description"	    "治疗附近的友军单位。"
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_Lore"	    		"他们的到来全无征兆，王国曾经繁荣的地方只剩下烈火和血海。"
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_radius"			"范围："
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_duration"			"持续时间："
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_regen_rate"				"%最大生命值生命恢复加成："
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_magic_resistance"			"%魔法抗性加成："
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_bonus_armor"				"护甲加成："
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_caster"					"黑暗之门"
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_caster_Description"	    "治疗附近的友军单位。"
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_buff"					"黑暗之门"
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_buff_Description"		"获得最大生命值生命恢复加成"
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_debuff"					"黑暗之门"
	"DOTA_Tooltip_modifier_mjz_abyssal_underlord_dark_rift_debuff_Description"		""
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_cancel"				    "终止黑暗之门"
	"DOTA_Tooltip_ability_mjz_abyssal_underlord_dark_rift_cancel_Description"	    "终止技能。"
"DOTA_Tooltip_ability_mjz_alchemist_goblins_greed"								"地精的贪婪"
"DOTA_Tooltip_ability_mjz_alchemist_goblins_greed_Description"					"抱歉，有钱是真的能为所欲为的！！！"
"DOTA_Tooltip_ability_mjz_alchemist_goblins_greed_gold"							"获得金钱："
"DOTA_Tooltip_ability_mjz_alchemist_goblins_greed_interval"						"时间间隔："    
	"DOTA_Tooltip_ability_mjz_antimage_counterspell"				    "法术反制"
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_Description"	    "被动提升魔法抗性。 每%cooldown%秒被动抵挡并反弹一次指向性技能。 对目标单位施加一个护盾，持续%duration%秒，可以将大部分指向性法术反馈给施法者。"
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_Lore"	    		""
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_Note0"	    		""
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_magic_resistance"	"%魔法抗性加成："
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_cast_range"			"施法范围："
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_duration"			"持续时间："
	"DOTA_Tooltip_ability_mjz_antimage_counterspell_cooldown"			"冷却时间："
	"DOTA_Tooltip_modifier_mjz_spell_reflect"							"法术反制"
	"DOTA_Tooltip_modifier_mjz_spell_reflect_Description"	    		"可以将大部分指向性法术反馈给施法者。"
	"DOTA_Tooltip_modifier_mjz_spell_reflect_friendly"					"法术反制"
	"DOTA_Tooltip_modifier_mjz_spell_reflect_friendly_Description"	    "可以将大部分指向性法术反馈给施法者。"
	
	"DOTA_Tooltip_ability_mjz_antimage_mana_void"				"法力虚空"
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_Description"	"根据目标的魔法值，对目标和其周围的敌人造成伤害。主要目标受到短暂眩晕。"
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_Lore"			"敌人倒下之后，将因使用奥术而受到敌法师的惩戒。"
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_mana_void_damage_per_mana"		"伤害："
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_mana_void_ministun"			"眩晕时间："
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_mana_void_aoe_radius"			"作用范围："
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_cast_range"					"施法范围："
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_Note0"			"眩晕效果无视技能免疫。"
	"DOTA_Tooltip_ability_mjz_antimage_mana_void_Note1"			"伤害的计算根据主目标的魔法值，但是对作用范围内所有敌人均有效。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_antimage_mana_void_damage"	"+0.9 法力虚空伤害"
	    
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith"				    "闪光幽魂"
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_Description"	    "天穹守望者有一定概率造成额外伤害。"
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_Lore"				"泽特原始自我的低级碎片。"
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_Note0"	    	""
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_wraith_speed"		"幽魂速度："
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_proc_chance"		"%概率："
	"DOTA_Tooltip_ability_mjz_arc_warden_spark_wraith_spark_damage"		"伤害："
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_arc_warden_0302"		"+10%闪光幽魂几率"
	    
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call"				    "狂战士之吼"
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_Description"	    "斧王嘲讽附近的敌方单位，强迫他们攻击自己，同时获得额外护甲。"
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_Lore"	    		"蒙哥可汗的狂吼嘲讽使敌人不得不与他作战。"
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_Note0"	    	"效果无视技能免疫。"
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_radius"			"范围："
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_bonus_armor"		"基础护甲加成："
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_bonus_armor_per"	"%额外护甲加成："
	"DOTA_Tooltip_ability_mjz_axe_berserkers_call_duration"			"持续时间："
	"DOTA_Tooltip_modifier_mjz_axe_berserkers_call_caster"				"狂战士之吼"
	"DOTA_Tooltip_modifier_mjz_axe_berserkers_call_caster_Description"	"护甲增加%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。"
	"DOTA_Tooltip_modifier_mjz_axe_berserkers_call_enemy"				"狂战士之吼"
	"DOTA_Tooltip_modifier_mjz_axe_berserkers_call_enemy_Description"	"你被迫攻击斧王"    
	"DOTA_Tooltip_ability_mjz_axe_counter_helix"				    "反击螺旋"
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_Description"	    "受攻击时，斧王做出螺旋反击，对附近所有敌方单位造成纯粹伤害。"
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_Lore"	    		"这支军队只要有斧王就不需要援军了。"
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_Note0"	    		"选择天赋后，受到攻击和攻击时的触发共享触发几率和冷却"
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_radius"				"范围："
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_trigger_chance"		"%触发几率："
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_damage"				"伤害："
	"DOTA_Tooltip_ability_mjz_axe_counter_helix_strength_per"		"%力量加成："    
	"DOTA_Tooltip_ability_mjz_axe_culling_blade"				    "淘汰之刃"
	"DOTA_Tooltip_ability_mjz_axe_culling_blade_Description"	    "斧王寻找弱点来出击，然后造成基于施法者力量值倍数的伤害。

可用神杖升级。"
