    
    "DOTA_Tooltip_ability_mjz_pudge_rot"	            "Rot"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Description"	"A toxic cloud that deals intense damage and slows movement--harming not only enemy units but Pudge himself."
    "DOTA_Tooltip_ability_mjz_pudge_rot_Lore"	        "A foul odor precedes a toxic, choking gas, emanating from the Butcher's putrid, ever-swelling mass."
    "DOTA_Tooltip_ability_mjz_pudge_rot_rot_radius"	        "RADIUS:"
    "DOTA_Tooltip_ability_mjz_pudge_rot_rot_slow"	        "%MOVE SLOW:"
    "DOTA_Tooltip_ability_mjz_pudge_rot_base_damage"	    "BASE DAMAGE:"
    "DOTA_Tooltip_ability_mjz_pudge_rot_health_damage_pct"	"%CURRENT HEALTH AS DAMAGE:"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note0"	"Using Rot doesn't interrupt channeling."
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note1"	"Rot hits invisible units."
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note2"	"If Pudge is silenced, he can't deactivate Rot if it's activated."
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note3"	"Pudge can deny himself with this ability."
    "DOTA_Tooltip_modifier_mjz_pudge_rot"	            "Rot"
    "DOTA_Tooltip_modifier_mjz_pudge_rot_Description"	"Causes damage to every fighter in a radius every second."
    "DOTA_Tooltip_modifier_mjz_pudge_rot_effect"	            "Rot"
    "DOTA_Tooltip_modifier_mjz_pudge_rot_effect_Description"	"Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_rot_damage"	"+40 Rot Base Damage"
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_rot_health"	"+4% Rot Health Damage"
