	

		//>>>>	BiGan's Octarine Core
		"DOTA_Tooltip_Ability_item_bigan_octarine_core"	                        "BiGan's Octarine Core"
		"DOTA_Tooltip_ability_item_bigan_octarine_core_Description"				"<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%lifesteal%%% of all damage dealt to enemies is returned to the caster as health, regardless of damage type."
		"DOTA_Tooltip_ability_item_bigan_octarine_core_bonus_intelligence"		"+$int"
		"DOTA_Tooltip_ability_item_bigan_octarine_core_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_bigan_octarine_core_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_bigan_octarine_core_Lore"					"At the core of spellcraft are spectrums only the very gifted can sense."
		//<<<<
		//>>>>
		"DOTA_Tooltip_Ability_item_mjz_ipomoea_aquatica"	                        "Ipomoea Aquatica"
		"DOTA_Tooltip_ability_item_mjz_ipomoea_aquatica_Description"				"<h1>Passive: Spell Lifesteal</h1>%lifesteal%%% of all damage dealt to enemies is returned to the caster as health, regardless of damage type."
		"DOTA_Tooltip_ability_item_mjz_ipomoea_aquatica_bonus_intelligence"		"+$int"
		"DOTA_Tooltip_ability_item_mjz_ipomoea_aquatica_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_ipomoea_aquatica_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_ipomoea_aquatica_Lore"					"人若是无心如何？"
		//<<<<
		


