
		//>>>>	Armlet of Mordiggian LVL 2
		"DOTA_Tooltip_Ability_item_mjz_armlet_2"	                        "Armlet of Mordiggian LVL 2"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_Description"				"<h1>Toggle: Unholy Strength</h1>When active, Unholy Strength grants %unholy_bonus_damage% damage, %unholy_bonus_strength% strength and %unholy_bonus_armor% armor, but drains %unholy_health_drain_per_second_tooltip% health per second. You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_attack_speed"			"+Attack speed"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_health_regen"			"+Health regeneration"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
		//<<<<
		//>>>>	Armlet of Mordiggian LVL 3
		"DOTA_Tooltip_Ability_item_mjz_armlet_3"	                        "Armlet of Mordiggian LVL 3"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_Description"				"<h1>Toggle: Unholy Strength</h1>When active, Unholy Strength grants %unholy_bonus_damage% damage, %unholy_bonus_strength% strength and %unholy_bonus_armor% armor, but drains %unholy_health_drain_per_second_tooltip% health per second. You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_attack_speed"			"+Attack speed"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_health_regen"			"+Health regeneration"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
		//<<<<
		//>>>>	Armlet of Mordiggian LVL 4
		"DOTA_Tooltip_Ability_item_mjz_armlet_4"	                        "Armlet of Mordiggian LVL 4"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_Description"				"<h1>Toggle: Unholy Strength</h1>When active, Unholy Strength grants %unholy_bonus_damage% damage, %unholy_bonus_strength% strength and %unholy_bonus_armor% armor, but drains %unholy_health_drain_per_second_tooltip% health per second. You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_attack_speed"			"+Attack speed"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_health_regen"			"+Health regeneration"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
		//<<<<
		//>>>>	Armlet of Mordiggian LVL 5
		"DOTA_Tooltip_Ability_item_mjz_armlet_5"	                        "Armlet of Mordiggian LVL 5"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_Description"				"<h1>Toggle: Unholy Strength</h1>When active, Unholy Strength grants %unholy_bonus_damage% damage, %unholy_bonus_strength% strength and %unholy_bonus_armor% armor, but drains %unholy_health_drain_per_second_tooltip% health per second. You cannot die from the health drain when Unholy Strength is activated, nor from the strength loss when Unholy Strength is deactivated."
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_attack_speed"			"+Attack speed"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_health_regen"			"+Health regeneration"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_Lore"						"Weapon of choice among brutes, the bearer sacrifices his life energy to gain immense strength and power."
		//<<<<
