	

		//>>>>	MJZ Boots CLOCK UP
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up"							"<font color='#4ae0bf'>Boots CLOCK UP</font>"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_Description"				"<h1>Active: Clock Up</h1>Gives %phase_movement_speed%%% increased movement speed on melee heroes, and %phase_movement_speed_range%%% on ranged heroes, and lets you move through units and turn more quickly for %phase_duration% seconds."
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_Lore"						""
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_armor"				"+$armor"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_damage_melee"		"+Attack damage (Melee)"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_damage_range"		"+Attack damage (Ranged)"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_movement_speed"		"%+Movement speed"
		"DOTA_Tooltip_modifier_item_mjz_boots_clock_up_effect"					""
		"DOTA_Tooltip_modifier_item_mjz_boots_clock_up_effect_Description"		""
		"DOTA_Tooltip_Ability_item_recipe_mjz_boots_clock_up"					"<font color='#4ae0bf'>Recipe: Boots CLOCK UP</font>"
		//<<<<
