
		//>>>>	Blue Butterfly
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1"                              		"Blue Butterfly LVL 1"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2"                              		"Blue Butterfly LVL 2"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3"                              		"Blue Butterfly LVL 3"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4"                              		"Blue Butterfly LVL 4"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5"                              		"Blue Butterfly LVL 5"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_attack_speed"		    	    "+$attack"
		//<<<<
