
		//>>>>	Green Butterfly
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1"                              		"Green Butterfly LVL 1"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2"                              		"Green Butterfly LVL 2"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3"                              		"Green Butterfly LVL 3"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4"                              		"Green Butterfly LVL 4"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5"                              		"Green Butterfly LVL 5"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_Lore"								"Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_attack_speed"		    	    "+$attack"
		//<<<<
