
		//>>>>	MJZ Desolator LVL 2
		"DOTA_Tooltip_Ability_item_mjz_desolator_2"	                        "Desolator LVL 2"
		"DOTA_Tooltip_ability_item_mjz_desolator_2_Description"				"<h1>Passive: Corruption</h1>Your attacks reduce the target's armor by %tooltip_corruption_armor% for %corruption_duration% seconds."
		"DOTA_Tooltip_ability_item_mjz_desolator_2_bonus_damage"			"+$damage"
		"DOTA_Tooltip_ability_item_mjz_desolator_2_Lore"					"A wicked weapon, used in torturing political criminals."
		//<<<<
		//>>>>	MJZ Desolator LVL 3
		"DOTA_Tooltip_Ability_item_mjz_desolator_3"	                        "Desolator LVL 3"
		"DOTA_Tooltip_ability_item_mjz_desolator_3_Description"				"<h1>Passive: Corruption</h1>Your attacks reduce the target's armor by %tooltip_corruption_armor% for %corruption_duration% seconds."
		"DOTA_Tooltip_ability_item_mjz_desolator_3_bonus_damage"			"+$damage"
		"DOTA_Tooltip_ability_item_mjz_desolator_3_Lore"					"A wicked weapon, used in torturing political criminals."
		//<<<<
		//>>>>	MJZ Desolator LVL 4
		"DOTA_Tooltip_Ability_item_mjz_desolator_4"	                        "Desolator LVL 4"
		"DOTA_Tooltip_ability_item_mjz_desolator_4_Description"				"<h1>Passive: Corruption</h1>Your attacks reduce the target's armor by %tooltip_corruption_armor% for %corruption_duration% seconds."
		"DOTA_Tooltip_ability_item_mjz_desolator_4_bonus_damage"			"+$damage"
		"DOTA_Tooltip_ability_item_mjz_desolator_4_Lore"					"A wicked weapon, used in torturing political criminals."
		//<<<<
		//>>>>	MJZ Desolator LVL 5
		"DOTA_Tooltip_Ability_item_mjz_desolator_5"	                        "Desolator LVL 5"
		"DOTA_Tooltip_ability_item_mjz_desolator_5_Description"				"<h1>Passive: Corruption</h1>Your attacks reduce the target's armor by %tooltip_corruption_armor% for %corruption_duration% seconds."
		"DOTA_Tooltip_ability_item_mjz_desolator_5_bonus_damage"			"+$damage"
		"DOTA_Tooltip_ability_item_mjz_desolator_5_Lore"					"A wicked weapon, used in torturing political criminals."
		//<<<<
