	

		//>>>>	MJZ Kaya LVL 2
		"DOTA_Tooltip_Ability_item_recipe_mjz_kaya_2"					"Recipe: Upgrade Kaya"

		"DOTA_Tooltip_Ability_item_mjz_kaya_2"	                        "Kaya LVL 2"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_2_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_manacost_reduction"		"%+MANA LOSS REDUCTION"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_Lore"						"The staff of a renowned sorceress, lost for countless millennia."
		//<<<<
		//>>>>	MJZ Kaya LVL 3
		"DOTA_Tooltip_Ability_item_mjz_kaya_3"	                        "Kaya LVL 3"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_3_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_manacost_reduction"		"%+MANA LOSS REDUCTION"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_Lore"						"The staff of a renowned sorceress, lost for countless millennia."
		//<<<<
		//>>>>	MJZ Kaya LVL 4
		"DOTA_Tooltip_Ability_item_mjz_kaya_4"	                        "Kaya LVL 4"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_4_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_manacost_reduction"		"%+MANA LOSS REDUCTION"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_Lore"						"The staff of a renowned sorceress, lost for countless millennia."
		//<<<<
		//>>>>	MJZ Kaya LVL 5
		"DOTA_Tooltip_Ability_item_mjz_kaya_5"	                    	"Kaya LVL 5"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_5_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_manacost_reduction"		"%+MANA LOSS REDUCTION"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_Lore"						"The staff of a renowned sorceress, lost for countless millennia."
		//<<<<
