
"DOTA_Tooltip_Ability_item_mjz_vladmir"					"Vladmir's Offering"
"DOTA_Tooltip_ability_item_mjz_vladmir_Description"							"<h1>Passive: Vladmir's Aura</h1>Grants %lifesteal_aura%%% lifesteal, %armor_aura% bonus armor, and %mana_regen_aura% mana regeneration to nearby allies. <br><br>Radius: %aura_radius%"
"DOTA_Tooltip_ability_item_mjz_vladmir_Lore"				"An eerie mask that is haunted with the malice of a fallen vampire."
"DOTA_Tooltip_ability_item_mjz_vladmir_bonus_all_stats"		"+$all"
"DOTA_Tooltip_modifier_item_mjz_vladmir_aura"			"Vladmir's Aura"
"DOTA_Tooltip_modifier_item_mjz_vladmir_aura_Description"	"Gaining 10%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

"DOTA_Tooltip_Ability_item_mjz_vladmir_v2"					"Vladmir's Offering V2"
"DOTA_Tooltip_ability_item_mjz_vladmir_v2_Description"							"<h1>Passive: Vladmir's Aura</h1>Grants %lifesteal_aura%%% lifesteal, %armor_aura% bonus armor, and %mana_regen_aura% mana regeneration to nearby allies. <br><br>Radius: %aura_radius%"
"DOTA_Tooltip_ability_item_mjz_vladmir_v2_Lore"				"An eerie mask that is haunted with the malice of a fallen vampire."
"DOTA_Tooltip_ability_item_mjz_vladmir_v2_bonus_all_stats"		"+$all"
"DOTA_Tooltip_modifier_item_mjz_vladmir_v2_aura"			"Vladmir's Aura  V2"
"DOTA_Tooltip_modifier_item_mjz_vladmir_v2_aura_Description"	"Gaining 10%% lifesteal, as well as %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

