
"npc_dota_creature_siltbreaker"										"Siltbreaker"
"npc_dota_creature_siltbreaker_clone"								"Siltbreaker Clone"
"npc_dota_creature_meranth_minion"									"Reefwatch Renegade"
"DOTA_Tooltip_ability_siltbreaker_waves"							"Waves"
"DOTA_Tooltip_ability_siltbreaker_waves_damage"						"DAMAGE:"
"DOTA_Tooltip_ability_siltbreaker_line_wave"						"Line Wave"
"DOTA_Tooltip_ability_siltbreaker_line_wave_bubble_duration"		"DURATION:"
"DOTA_Tooltip_ability_siltbreaker_mouth_beam"						"Mouth Beam"
"DOTA_Tooltip_ability_siltbreaker_mouth_beam_damage_tooltip"		"DAMAGE:"
"DOTA_Tooltip_ability_siltbreaker_summon_clone"						"Summon Clone"
"DOTA_Tooltip_ability_siltbreaker_summon_minions"					"Summon Minions"
"DOTA_Tooltip_ability_siltbreaker_summon_minions_medium"			"Summon Minions Medium"
"DOTA_Tooltip_ability_siltbreaker_kraken_shell"						"Kraken Shell"
"DOTA_Tooltip_ability_siltbreaker_torrents"							"Torrents"
"DOTA_Tooltip_ability_siltbreaker_torrents_torrent_damage"			"DAMAGE:"
"DOTA_Tooltip_ability_siltbreaker_sprint"							"Sprint"
"DOTA_Tooltip_ability_siltbreaker_tail_spin_ccw"					"Tail Spin"
"DOTA_Tooltip_ability_siltbreaker_tail_spin_ccw_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_siltbreaker_go_phase_two"						"Go Phase Two"
"DOTA_Tooltip_ability_siltbreaker_go_phase_three"					"Go Phase Three"
"DOTA_Tooltip_ability_siltbreaker_teleport"							"Teleport"
"DOTA_Tooltip_ability_siltbreaker_teleport_blast_damage"			"DAMAGE:"
"DOTA_Tooltip_ability_siltbreaker_mind_control"						"Mind Control"
"DOTA_Tooltip_ability_siltbreaker_mind_control_Description"			"Control the minds of lesser beings."
"DOTA_Tooltip_modifier_siltbreaker_mind_control"					"Mind Control"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_Description"		"This unit is under the command of a greater being."
"DOTA_Tooltip_modifier_siltbreaker_mind_control_marked"				"Mind Control"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_marked_Description"	"This unit is under the command of a greater being."
"DOTA_Tooltip_modifier_siltbreaker_mind_control_movespeed_bonus"	"BONUS MOVE SPEED:"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_attackspeed_bonus"	"BONUS ATTACK SPEED:"
"DOTA_Tooltip_modifier_siltbreaker_immune_physical"					"Physical Immunity"
"DOTA_Tooltip_modifier_siltbreaker_immune_physical_Description"		"This unit is immune to physical damage."
"DOTA_Tooltip_modifier_siltbreaker_immune_magical"					"Magical Immunity"
"DOTA_Tooltip_modifier_siltbreaker_immune_magical_Description"		"This unit is immune to magical damage."
"DOTA_Tooltip_modifier_siltbreaker_attack"							"Corrosion"
"DOTA_Tooltip_modifier_siltbreaker_attack_Description"				"This unit's armor is drastically reduced."
"DOTA_Tooltip_modifier_siltbreaker_bubble"							"Daze"
"DOTA_Tooltip_modifier_siltbreaker_bubble_Description"				"Daydreaming."
