    
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact"				    "灵魂契约"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_Description"	    "克林克兹消化掉敌方目标单位的灵魂，获得永久攻击力，提升最大生命值并使自身的攻击可以减少护甲。若敌方英雄身上拥有此护甲降低效果时阵亡，并且灵魂契约的冷却时间也会刷新。每杀死一个敌方单位，死亡契约的冷却时间减少 %cooldown_reduce% 秒。"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_Lore"	    		"萨瑟雷克斯的灵魂契约已经成了克林克兹的一部分，他通过杀死那些低等生物来使自己的枯骨获得新生。"
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_duration"			"持续时间："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_health_gain"			"生命值获得："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_armor_reduction"		"护甲降低："
	"DOTA_Tooltip_ability_mjz_clinkz_soul_pact_permanent_bonus"		"永久攻击力加成："
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_health"					"灵魂契约"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_health_Description"	    "最大生命值提升%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS%点，攻击降低敌人%dMODIFIER_PROPERTY_TOOLTIP%点护甲。"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_permanent_buff"					"灵魂契约攻击力"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_permanent_buff_Description"		"灵魂契约获得的永久攻击力。"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_debuff"						"灵魂契约"
	"DOTA_Tooltip_modifier_mjz_clinkz_soul_pact_debuff_Description"			"护甲被削弱%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%点。"
