    
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk"											"骨隐步"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Description"								"克林克兹在隐形状态下移动，攻击或使用技能时显形。脱离隐身效果后克林克兹获得攻击速度加成。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Lore"									"随着火焰的爆裂和烟雾的升起，骷髅弓箭手的身形遁于无形。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_aghanim_description"						"退出骨隐步时在克林克兹周围产生两个骷髅弓手。提升骨隐步的加速效果，并移除移动速度限制。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Note0"									"开启后不会打断大多数持续施法类技能和物品。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_Note1"									"渐隐时间为%fade_time%秒。"
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_duration"								"持续时间："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_move_speed_bonus_pct"					"%移动速度提升："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_attack_speed_bonus"						"攻击速度加成："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_attack_speed_duration"					"攻击速度加成持续时间："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_scepter_skeleton_count"					"神杖升级骷髅弓手数量："
"DOTA_Tooltip_ability_mjz_clinkz_wind_walk_scepter_skeleton_duration"					"神杖升级骷髅弓手持续时间："
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk"						"骨隐步"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_Description"			"隐身，移动速度提升%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。能够穿越单位。"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_strafe"							"骨隐步"
"DOTA_Tooltip_modifier_mjz_clinkz_wind_walk_strafe_Description"				"攻击速度提升%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
