
		//>>>>	MJZ 深渊之刃 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_abyssal_blade_2"	                        "深渊之刃 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_Description"							"<h1>主动：强击</h1>闪烁至敌方目标身旁并造成击晕，持续%stun_duration%秒。<br><br>无视技能免疫。<br><br>施法距离：%abilitycastrange%\n<h1>被动：重击</h1>近战英雄攻击时有%bash_chance_melee%%%的概率击晕目标%bash_duration%秒，并额外造成%bonus_chance_damage%点物理伤害。远程英雄的击晕概率为%bash_chance_ranged%%%。\n<h1>被动：伤害格挡</h1>有%block_chance%%%几率格挡物理攻击造成的伤害，近战英雄可格挡%block_damage_melee%点伤害，远程英雄可格挡%block_damage_ranged%点伤害。"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_Lore"									"深渊指挥官的失落宝剑，能够轻易刺穿敌人的灵魂。"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_Note0"									"眩晕的施法距离与近战单位的攻击距离相同。"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_Note1"									"不与其他重击效果叠加。"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_Note2"									"多种伤害格挡物品的效果互不叠加。"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bonus_damage"							"+$damage"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bonus_health"							"+$health"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bonus_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bonus_strength"						"+$str"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_block_damage_melee"					"BLOCK DAMAGE MELEE:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_block_damage_ranged"					"BLOCK DAMAGE RANGED:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_block_chance"							"BLOCK CHANCE:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bash_chance_melee"					"%BASH MELEE CHANCE:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bash_chance_ranged"					"%BASH RANGED CHANCE:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bash_duration"								"BASH STUN DURATION:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_bonus_chance_damage"				"BASH BONUS DAMAGE:"
		//"DOTA_Tooltip_ability_item_mjz_abyssal_blade_2_stun_duration"							"OVERWHELM STUN DURATION:"
		//>>>>	MJZ 深渊之刃 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_abyssal_blade_3"	                        "深渊之刃 LVL 3"
