
		//>>>>	莫尔迪基安的臂章 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_armlet_2"	                        "莫尔迪基安的臂章 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_Description"				"<h1>激活：邪恶之力</h1>激活后邪恶之力将提升%unholy_bonus_damage%点攻击力、%unholy_bonus_strength%点力量和%unholy_bonus_armor%点护甲，但每秒失去%unholy_health_drain_per_second_tooltip%点生命值。 开启邪恶之力后生命流失并不会导致死亡，关闭邪恶之力后力量降低也不会导致死亡。"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_attack_speed"			"+攻击速度"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_bonus_health_regen"			"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_armlet_2_Lore"						"能让你成为野兽的武器，持有者牺牲自己的生命能量来获得巨大力量。"
		//<<<<
		//>>>>	莫尔迪基安的臂章 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_armlet_3"	                        "莫尔迪基安的臂章 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_Description"				"<h1>激活：邪恶之力</h1>激活后邪恶之力将提升%unholy_bonus_damage%点攻击力、%unholy_bonus_strength%点力量和%unholy_bonus_armor%点护甲，但每秒失去%unholy_health_drain_per_second_tooltip%点生命值。 开启邪恶之力后生命流失并不会导致死亡，关闭邪恶之力后力量降低也不会导致死亡。"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_attack_speed"			"+攻击速度"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_bonus_health_regen"			"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_armlet_3_Lore"						"能让你成为野兽的武器，持有者牺牲自己的生命能量来获得巨大力量。"
		//<<<<
		//>>>>	莫尔迪基安的臂章 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_armlet_4"	                        "莫尔迪基安的臂章 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_Description"				"<h1>激活：邪恶之力</h1>激活后邪恶之力将提升%unholy_bonus_damage%点攻击力、%unholy_bonus_strength%点力量和%unholy_bonus_armor%点护甲，但每秒失去%unholy_health_drain_per_second_tooltip%点生命值。 开启邪恶之力后生命流失并不会导致死亡，关闭邪恶之力后力量降低也不会导致死亡。"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_attack_speed"			"+攻击速度"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_bonus_health_regen"			"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_armlet_4_Lore"						"能让你成为野兽的武器，持有者牺牲自己的生命能量来获得巨大力量。"
		//<<<<
		//>>>>	莫尔迪基安的臂章 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_armlet_5"	                        "莫尔迪基安的臂章 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_Description"				"<h1>激活：邪恶之力</h1>激活后邪恶之力将提升%unholy_bonus_damage%点攻击力、%unholy_bonus_strength%点力量和%unholy_bonus_armor%点护甲，但每秒失去%unholy_health_drain_per_second_tooltip%点生命值。 开启邪恶之力后生命流失并不会导致死亡，关闭邪恶之力后力量降低也不会导致死亡。"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_attack_speed"			"+攻击速度"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_bonus_health_regen"			"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_armlet_5_Lore"						"能让你成为野兽的武器，持有者牺牲自己的生命能量来获得巨大力量。"
		//<<<<
