
		//>>>>	MJZ 波格达格的幸运股骨
		"DOTA_Tooltip_Ability_item_recipe_mjz_bogduggs_lucky_femur"			"卷轴：波格达格的幸运股骨"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur"				"<font color='#4ae0bf'>波格达格的幸运股骨</font>"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_Description"	"<h1>被动：好运连连</h1>在施放一个技能后，有%refresh_pct%%%的几率马上刷新该技能。"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_Lore"			"再来一次！"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_bonus_mana"			"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2"						"<font color='#4ae0bf'>波格达格的幸运股骨 LVL 2</font>"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2_Description"			"<h1>被动：好运连连</h1>在施放一个技能后，有%refresh_pct%%%的几率马上刷新该技能。"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2_Lore"					"再来一次！"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2_bonus_intellect"		"+$int"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2_bonus_mana"			"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_2_bonus_mana_regen"		"+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3"						"<font color='#4ae0bf'>波格达格的幸运股骨 LVL 3</font>"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3_Description"			"<h1>被动：好运连连</h1>在施放一个技能后，有%refresh_pct%%%的几率马上刷新该技能。"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3_Lore"					"再来一次！"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3_bonus_intellect"		"+$int"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3_bonus_mana"			"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_3_bonus_mana_regen"		"+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4"						"<font color='#4ae0bf'>波格达格的幸运股骨 LVL 4</font>"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4_Description"			"<h1>被动：好运连连</h1>在施放一个技能后，有%refresh_pct%%%的几率马上刷新该技能。"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4_Lore"					"再来一次！"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4_bonus_intellect"		"+$int"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4_bonus_mana"			"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_4_bonus_mana_regen"		"+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5"						"<font color='#4ae0bf'>波格达格的幸运股骨 LVL 5</font>"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5_Description"			"<h1>被动：好运连连</h1>在施放一个技能后，有%refresh_pct%%%的几率马上刷新该技能。"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5_Lore"					"再来一次！"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5_bonus_intellect"		"+$int"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5_bonus_mana"			"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bogduggs_lucky_femur_5_bonus_mana_regen"		"+$mana_regen"
		//<<<<
		
