

		//>>>>	MJZ Boots CLOCK UP
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up"							"<font color='#4ae0bf'>Boots CLOCK UP</font>"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_Description"				"<h1>主动：Clock Up</h1>提升移动速度并使你可以穿越单位，转身也更快。近战英雄提升%phase_movement_speed%%%移动速度，远程英雄提升%phase_movement_speed_range%%%移动速度，状态持续%phase_duration%秒。"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_Lore"						""
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_armor"				"+$armor"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_damage_melee"		"+攻击力（近战）"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_damage_range"		"+攻击力（远程）"
		"DOTA_Tooltip_Ability_item_mjz_boots_clock_up_bonus_movement_speed"		"%+移动速度"
		"DOTA_Tooltip_modifier_item_mjz_boots_clock_up_effect"					""
		"DOTA_Tooltip_modifier_item_mjz_boots_clock_up_effect_Description"		""
		"DOTA_Tooltip_Ability_item_recipe_mjz_boots_clock_up"					"<font color='#4ae0bf'>卷轴：Boots CLOCK UP</font>"
		//<<<<
