
		//>>>>	蓝色的蝴蝶
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1"                              		"蓝色的蝴蝶 LVL 1"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_1_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2"                              		"蓝色的蝴蝶 LVL 2"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_2_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3"                              		"蓝色的蝴蝶 LVL 3"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_3_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4"                              		"蓝色的蝴蝶 LVL 4"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_4_bonus_attack_speed"		    	    "+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5"                              		"蓝色的蝴蝶 LVL 5"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_blue_5_bonus_attack_speed"		    	    "+$attack"
		//<<<<
