
		//>>>>	绿色的蝴蝶
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1"                              		"绿色的蝴蝶 LVL 1"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_1_bonus_attack_speed"		    	"+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2"                              		"绿色的蝴蝶 LVL 2"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_2_bonus_attack_speed"		    	"+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3"                              		"绿色的蝴蝶 LVL 3"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_3_bonus_attack_speed"		   		"+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4"                              		"绿色的蝴蝶 LVL 4"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_4_bonus_attack_speed"		    	"+$attack"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5"                              		"绿色的蝴蝶 LVL 5"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_Description"						""
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_Lore"								"只有最强大最老练的战士才能携带蝴蝶，但它也提供无可比拟的战斗灵活力作为回报。"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_damage"						"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_evasion"					    "%+$evasion"
		"DOTA_Tooltip_Ability_item_mjz_butterfly_green_5_bonus_attack_speed"		    	"+$attack"
		//<<<<
