
		//>>>>	MJZ 幻影斧 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_manta_2"	                        			"幻影斧 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_manta_2_Description"							"<h1>主动：镜像</h1>制造%images_count%个你的幻象，持续%illusion_duration%秒。<br><br>近战英雄的幻象继承%tooltip_damage_outgoing_melee%%%的攻击力，承受%tooltip_damage_incoming_melee_total_pct%%%的伤害；远程英雄的幻象继承%tooltip_damage_outgoing_ranged%%%的攻击力，承受%tooltip_damage_incoming_ranged_total_pct%%%的伤害。<br><br>远程英雄装备后的冷却时间增加%tooltip_ranged_cooldown_increase%秒。</font><br><br> 驱散类型：<span class=\"GameplayValues GameplayVariable\">弱驱散</span>"
		"DOTA_Tooltip_ability_item_mjz_manta_2_Lore"								"用反光材料制成的斧头，能够混淆敌军。"
		"DOTA_Tooltip_ability_item_mjz_manta_2_Note0"									"有%invuln_duration%秒的施法时间，其间处于无敌状态。"
		"DOTA_Tooltip_ability_item_mjz_manta_2_Note1"									"可以使用幻影斧移除多种负面效果。"
		"DOTA_Tooltip_ability_item_mjz_manta_2_Note2"									"不会与其他夜叉、散夜对剑以及幻影斧提供的移动速度加成叠加。"
		"DOTA_Tooltip_ability_item_mjz_manta_2_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_2_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_2_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_2_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_2_bonus_movement_speed"					"%+$move_speed"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_images_count"							"NUMBER OF IMAGES:"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_tooltip_damage_incoming_melee_total_pct"		"%MELEE IMAGE DAMAGE TAKEN:"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_tooltip_damage_outgoing_melee"			"%MELEE IMAGE DAMAGE:"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_tooltip_damage_incoming_ranged_total_pct"		"%RANGED IMAGE DAMAGE TAKEN:"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_tooltip_damage_outgoing_ranged"		"%RANGED IMAGE DAMAGE:"
		//"DOTA_Tooltip_ability_item_mjz_manta_2_illusion_duration"				"IMAGE DURATION:"
		//<<<<
		"DOTA_Tooltip_Ability_item_mjz_manta_3"	                        			"幻影斧 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_manta_3_Description"							"<h1>主动：镜像</h1>制造%images_count%个你的幻象，持续%illusion_duration%秒。<br><br>近战英雄的幻象继承%tooltip_damage_outgoing_melee%%%的攻击力，承受%tooltip_damage_incoming_melee_total_pct%%%的伤害；远程英雄的幻象继承%tooltip_damage_outgoing_ranged%%%的攻击力，承受%tooltip_damage_incoming_ranged_total_pct%%%的伤害。<br><br>远程英雄装备后的冷却时间增加%tooltip_ranged_cooldown_increase%秒。</font><br><br> 驱散类型：<span class=\"GameplayValues GameplayVariable\">弱驱散</span>"
		"DOTA_Tooltip_ability_item_mjz_manta_3_Lore"								"用反光材料制成的斧头，能够混淆敌军。"
		"DOTA_Tooltip_ability_item_mjz_manta_3_Note0"									"有%invuln_duration%秒的施法时间，其间处于无敌状态。"
		"DOTA_Tooltip_ability_item_mjz_manta_3_Note1"									"可以使用幻影斧移除多种负面效果。"
		"DOTA_Tooltip_ability_item_mjz_manta_3_Note2"									"不会与其他夜叉、散夜对剑以及幻影斧提供的移动速度加成叠加。"
		"DOTA_Tooltip_ability_item_mjz_manta_3_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_3_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_3_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_3_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_3_bonus_movement_speed"					"%+$move_speed"
		//<<<<
		"DOTA_Tooltip_Ability_item_mjz_manta_4"	                        			"幻影斧 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_manta_4_Description"							"<h1>主动：镜像</h1>制造%images_count%个你的幻象，持续%illusion_duration%秒。<br><br>近战英雄的幻象继承%tooltip_damage_outgoing_melee%%%的攻击力，承受%tooltip_damage_incoming_melee_total_pct%%%的伤害；远程英雄的幻象继承%tooltip_damage_outgoing_ranged%%%的攻击力，承受%tooltip_damage_incoming_ranged_total_pct%%%的伤害。<br><br>远程英雄装备后的冷却时间增加%tooltip_ranged_cooldown_increase%秒。</font><br><br> 驱散类型：<span class=\"GameplayValues GameplayVariable\">弱驱散</span>"
		"DOTA_Tooltip_ability_item_mjz_manta_4_Lore"								"用反光材料制成的斧头，能够混淆敌军。"
		"DOTA_Tooltip_ability_item_mjz_manta_4_Note0"									"有%invuln_duration%秒的施法时间，其间处于无敌状态。"
		"DOTA_Tooltip_ability_item_mjz_manta_4_Note1"									"可以使用幻影斧移除多种负面效果。"
		"DOTA_Tooltip_ability_item_mjz_manta_4_Note2"									"不会与其他夜叉、散夜对剑以及幻影斧提供的移动速度加成叠加。"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_4_bonus_movement_speed"					"%+$move_speed"
		//<<<<
		"DOTA_Tooltip_Ability_item_mjz_manta_5"	                        			"幻影斧 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Description"							"<h1>主动：镜像</h1>制造%images_count%个你的幻象，持续%illusion_duration%秒。<br><br>近战英雄的幻象继承%tooltip_damage_outgoing_melee%%%的攻击力，承受%tooltip_damage_incoming_melee_total_pct%%%的伤害；远程英雄的幻象继承%tooltip_damage_outgoing_ranged%%%的攻击力，承受%tooltip_damage_incoming_ranged_total_pct%%%的伤害。<br><br>远程英雄装备后的冷却时间增加%tooltip_ranged_cooldown_increase%秒。</font><br><br> 驱散类型：<span class=\"GameplayValues GameplayVariable\">弱驱散</span>"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Lore"								"用反光材料制成的斧头，能够混淆敌军。"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note0"									"有%invuln_duration%秒的施法时间，其间处于无敌状态。"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note1"									"可以使用幻影斧移除多种负面效果。"
		"DOTA_Tooltip_ability_item_mjz_manta_5_Note2"									"不会与其他夜叉、散夜对剑以及幻影斧提供的移动速度加成叠加。"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_agility"							"+$agi"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_strength"						"+$str"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_intellect"						"+$int"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_attack_speed"					"+$attack"
		"DOTA_Tooltip_ability_item_mjz_manta_5_bonus_movement_speed"					"%+$move_speed"
		//<<<<
