
		//>>>>	辉耀 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_radiance_2"	                        "辉耀 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_radiance_2_Description"				"<h1>被动：辉耀灼烧</h1>开启后，辉耀灼烧每秒对敌军造成%aura_damage%点魔法伤害，并且物理攻击有%blind_pct%%%的几率不会命中。幻象每秒造成%aura_damage_illusions%点魔法伤害。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_radiance_2_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_radiance_2_Lore"						"一把神圣的武器，剑身的耀眼光芒能将敌人化为灰烬。"
		//<<<<
		//>>>>	辉耀 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_radiance_3"	                        "辉耀 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_radiance_3_Description"				"<h1>被动：辉耀灼烧</h1>开启后，辉耀灼烧每秒对敌军造成%aura_damage%点魔法伤害，并且物理攻击有%blind_pct%%%的几率不会命中。幻象每秒造成%aura_damage_illusions%点魔法伤害。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_radiance_3_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_radiance_3_Lore"						"一把神圣的武器，剑身的耀眼光芒能将敌人化为灰烬。"
		//<<<<
		//>>>>	辉耀 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_radiance_4"	                        "辉耀 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_radiance_4_Description"				"<h1>被动：辉耀灼烧</h1>开启后，辉耀灼烧每秒对敌军造成%aura_damage%点魔法伤害，并且物理攻击有%blind_pct%%%的几率不会命中。幻象每秒造成%aura_damage_illusions%点魔法伤害。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_radiance_4_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_radiance_4_Lore"						"一把神圣的武器，剑身的耀眼光芒能将敌人化为灰烬。"
		//<<<<
		//>>>>	辉耀 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_radiance_5"	                        "辉耀 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_radiance_5_Description"				"<h1>被动：辉耀灼烧</h1>开启后，辉耀灼烧每秒对敌军造成%aura_damage%点魔法伤害，并且物理攻击有%blind_pct%%%的几率不会命中。幻象每秒造成%aura_damage_illusions%点魔法伤害。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_radiance_5_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_mjz_radiance_5_Lore"						"一把神圣的武器，剑身的耀眼光芒能将敌人化为灰烬。"
		//<<<<
