		

		//>>>>	天鹰之戒
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila"								"天鹰之戒"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_Description"					"<h1>被动：天鹰光环</h1>给予 %aura_radius% 范围内友军额外的 %aura_mana_regen% 点/秒魔法恢复和 %aura_bonus_armor% 点护甲。"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_Lore"							"陨落督军阿奎拉的戒指依然在战场上支援着军队。"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_bonus_strength"				"+$str"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_bonus_agility"				"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_bonus_intellect"				"+$int"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_bonus_damage"					"+$damage"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_aura_radius"					"光环范围："
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_aura_mana_regen"				"光环恢复魔法："
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_aura_bonus_armor"				"光环提升护甲："
		"DOTA_Tooltip_modifier_item_mjz_ring_of_aquila_aura"						"天鹰光环"
		"DOTA_Tooltip_modifier_item_mjz_ring_of_aquila_aura_Description"			"给予范围内友军额外的魔法恢复和护甲。"

		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive"						"天鹰之戒（关闭）"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_Description"			"<h1>被动：天鹰光环</h1>给予额外的 %aura_mana_regen% 点/秒魔法恢复和 %aura_bonus_armor% 点护甲。"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_Lore"				"陨落督军阿奎拉的戒指依然在战场上支援着军队。"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_bonus_strength"		"+$str"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_bonus_agility"		"+$agi"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_bonus_intellect"		"+$int"
		"DOTA_Tooltip_Ability_item_mjz_ring_of_aquila_inactive_bonus_damage"		"+$damage"
		"DOTA_Tooltip_modifier_item_mjz_ring_of_aquila_inactive_aura"				"天鹰光环（关闭）"
		"DOTA_Tooltip_modifier_item_mjz_ring_of_aquila_inactive_aura_Description"	"额外的魔法恢复和护甲。"
		//<<<<

