
		//>>>>	MJZ 希瓦的守护 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_shivas_guard_2"	                        "希瓦的守护 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_2_Description"				"<h1>主动：极寒冲击</h1>发出一道寒冷的波动，对敌人造成%blast_damage%点魔法伤害并减速%blast_movement_speed%%%，持续%blast_debuff_duration%秒。范围：%blast_radius% \n\n<h1>被动：霜冷光环</h1>降低敌人%aura_attack_speed%攻击速度。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_2_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_2_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_2_Lore"						"据说曾经属于某位女神，至今仍保持大部分神力。"
		//<<<<
		//>>>>	MJZ 希瓦的守护 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_shivas_guard_3"	                        "希瓦的守护 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_3_Description"				"<h1>主动：极寒冲击</h1>发出一道寒冷的波动，对敌人造成%blast_damage%点魔法伤害并减速%blast_movement_speed%%%，持续%blast_debuff_duration%秒。范围：%blast_radius% \n\n<h1>被动：霜冷光环</h1>降低敌人%aura_attack_speed%攻击速度。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_3_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_3_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_3_Lore"						"据说曾经属于某位女神，至今仍保持大部分神力。"
		//<<<<
		//>>>>	MJZ 希瓦的守护 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_shivas_guard_4"	                        "希瓦的守护 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_4_Description"				"<h1>主动：极寒冲击</h1>发出一道寒冷的波动，对敌人造成%blast_damage%点魔法伤害并减速%blast_movement_speed%%%，持续%blast_debuff_duration%秒。范围：%blast_radius% \n\n<h1>被动：霜冷光环</h1>降低敌人%aura_attack_speed%攻击速度。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_4_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_4_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_4_Lore"						"据说曾经属于某位女神，至今仍保持大部分神力。"
		//<<<<
		//>>>>	MJZ 希瓦的守护 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_shivas_guard_5"	                        "希瓦的守护 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_5_Description"				"<h1>主动：极寒冲击</h1>发出一道寒冷的波动，对敌人造成%blast_damage%点魔法伤害并减速%blast_movement_speed%%%，持续%blast_debuff_duration%秒。范围：%blast_radius% \n\n<h1>被动：霜冷光环</h1>降低敌人%aura_attack_speed%攻击速度。范围：%aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_5_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_5_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_shivas_guard_5_Lore"						"据说曾经属于某位女神，至今仍保持大部分神力。"
		//<<<<
