

		//>>>>	血精石 LVL 2
		"DOTA_Tooltip_modifier_item_mjz_bloodstone_active"						"血之契约"
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_2"	                        "血精石 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n<h1>被动：魔力源泉</h1>所有被动魔法恢复效果提升%mana_regen_multiplier%%%。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_mana_regen"		"+$mana_regen"
		// "DOTA_Tooltip_ability_item_mjz_bloodstone_2_mana_regen_multiplier"	"%+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//>>>>	血精石 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_3"	                        "血精石 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n<h1>被动：魔力源泉</h1>所有被动魔法恢复效果提升%mana_regen_multiplier%%%。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_mana_regen"		"+$mana_regen"
		// "DOTA_Tooltip_ability_item_mjz_bloodstone_3_mana_regen_multiplier"	"%+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//>>>>	血精石 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_4"	                        "血精石 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n<h1>被动：魔力源泉</h1>所有被动魔法恢复效果提升%mana_regen_multiplier%%%。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_mana_regen"		"+$mana_regen"
		// "DOTA_Tooltip_ability_item_mjz_bloodstone_4_mana_regen_multiplier"	"%+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//>>>>	血精石 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_5"	                        "血精石 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n<h1>被动：魔力源泉</h1>所有被动魔法恢复效果提升%mana_regen_multiplier%%%。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_mana_regen"		"+$mana_regen"
		// "DOTA_Tooltip_ability_item_mjz_bloodstone_5_mana_regen_multiplier"	"%+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//>>>>	Bloodstone Ultimate
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_ultimate"	                        "终极血精石"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n<h1>被动：魔力源泉</h1>所有被动魔法恢复效果提升%mana_regen_multiplier%%%。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_bonus_health_regen"		"+$hp_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_bonus_mana_regen"		"+$mana_regen"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_ultimate_manacost_reduction"		"%+魔法损失降低"
		//<<<<
