

		//>>>>	MJZ 慧光 LVL 2
		"DOTA_Tooltip_Ability_item_recipe_mjz_kaya_2"					"卷轴：升级慧光"

		"DOTA_Tooltip_Ability_item_mjz_kaya_2"	                        "慧光 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_2_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_manacost_reduction"		"%+魔法损失降低"
		"DOTA_Tooltip_ability_item_mjz_kaya_2_Lore"						"一位闻名遐迩的女巫师手上的法杖，已经失落了上万年。"
		//<<<<
		//>>>>	MJZ 慧光 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_kaya_3"	                        "慧光 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_3_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_manacost_reduction"		"%+魔法损失降低"
		"DOTA_Tooltip_ability_item_mjz_kaya_3_Lore"						"一位闻名遐迩的女巫师手上的法杖，已经失落了上万年。"
		//<<<<
		//>>>>	MJZ 慧光 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_kaya_4"	                        "慧光 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_4_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_manacost_reduction"		"%+魔法损失降低"
		"DOTA_Tooltip_ability_item_mjz_kaya_4_Lore"						"一位闻名遐迩的女巫师手上的法杖，已经失落了上万年。"
		//<<<<
		//>>>>	MJZ 慧光 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_kaya_5"	                    	"慧光 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_Description"				""
		"DOTA_Tooltip_ability_item_mjz_kaya_5_bonus_intellect"			"+$int"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_spell_amp"				"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_manacost_reduction"		"%+魔法损失降低"
		"DOTA_Tooltip_ability_item_mjz_kaya_5_Lore"						"一位闻名遐迩的女巫师手上的法杖，已经失落了上万年。"
		//<<<<
