

		//>>>>	冰眼 LVL 2
		"DOTA_Tooltip_modifier_item_mjz_skadi_debuff"					"斯嘉蒂之眼 LVL 寒冰攻击"
		"DOTA_Tooltip_modifier_item_mjz_skadi_debuff_Description"		"移动速度减缓%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%，攻击速度降低%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
		"DOTA_Tooltip_Ability_item_mjz_skadi_2"	                        "斯嘉蒂之眼 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_skadi_2_Description"				"<h1>被动：霜冻攻击</h1>攻击附带使敌人移动速度减缓 %cold_movement_speed%%% 和攻击速度降低 %cold_attack_speed%的霜冻效果。 效果在近战英雄上持续 %cold_duration_melee% 秒，在远程英雄上持续 %cold_duration_ranged% 秒。"
		"DOTA_Tooltip_ability_item_mjz_skadi_2_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_mjz_skadi_2_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_skadi_2_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_skadi_2_Lore"					"极度罕见的古物，由苍空之龙看管。"
		//<<<<
		//>>>>	冰眼 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_skadi_3"	                        "斯嘉蒂之眼 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_skadi_3_Description"				"<h1>被动：霜冻攻击</h1>攻击附带使敌人移动速度减缓 %cold_movement_speed%%% 和攻击速度降低 %cold_attack_speed%的霜冻效果。 效果在近战英雄上持续 %cold_duration_melee% 秒，在远程英雄上持续 %cold_duration_ranged% 秒。"
		"DOTA_Tooltip_ability_item_mjz_skadi_3_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_mjz_skadi_3_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_skadi_3_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_skadi_3_Lore"					"极度罕见的古物，由苍空之龙看管。"
		//<<<<
		//>>>>	冰眼 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_skadi_4"	                        "斯嘉蒂之眼 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_skadi_4_Description"				"<h1>被动：霜冻攻击</h1>攻击附带使敌人移动速度减缓 %cold_movement_speed%%% 和攻击速度降低 %cold_attack_speed%的霜冻效果。 效果在近战英雄上持续 %cold_duration_melee% 秒，在远程英雄上持续 %cold_duration_ranged% 秒。"
		"DOTA_Tooltip_ability_item_mjz_skadi_4_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_mjz_skadi_4_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_skadi_4_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_skadi_4_Lore"					"极度罕见的古物，由苍空之龙看管。"
		//<<<<
		//>>>>	冰眼 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_skadi_5"	                        "斯嘉蒂之眼 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_skadi_5_Description"				"<h1>被动：霜冻攻击</h1>攻击附带使敌人移动速度减缓 %cold_movement_speed%%% 和攻击速度降低 %cold_attack_speed%的霜冻效果。 效果在近战英雄上持续 %cold_duration_melee% 秒，在远程英雄上持续 %cold_duration_ranged% 秒。"
		"DOTA_Tooltip_ability_item_mjz_skadi_5_bonus_all_stats"			"+$all"
		"DOTA_Tooltip_ability_item_mjz_skadi_5_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_skadi_5_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_skadi_5_Lore"					"极度罕见的古物，由苍空之龙看管。"
		//<<<<
