
"DOTA_Tooltip_ability_item_chest_1"					"自然的馈赠NO.1"
"DOTA_Tooltip_ability_item_chest_1_Description"		"Can be used to build a tier 1 neutral item. Cannot be sold.\n You get one for free at round 6."
"DOTA_Tooltip_ability_item_chest_2"					"大自然的馈赠NO.2"
"DOTA_Tooltip_ability_item_chest_2_Description"		"Can be used to build a tier 2 neutral item. Cannot be sold.\n You get one for free at round 12."
"DOTA_Tooltip_ability_item_chest_3"					"大自然的馈赠NO.3"
"DOTA_Tooltip_ability_item_chest_3_Description"		"Can be used to build a tier 3 neutral item. Cannot be sold.\n You get one for free at round 18."
"DOTA_Tooltip_ability_item_chest_4"					"大自然的馈赠NO.4"
"DOTA_Tooltip_ability_item_chest_4_Description"		"Can be used to build a tier 4 neutral item. Cannot be sold.\n You get one for free at round 24."
"DOTA_Tooltip_ability_item_chest_5"					"大自然的馈赠NO.5"
"DOTA_Tooltip_ability_item_chest_5_Description"		"Can be used to build a tier 5 neutral item. Cannot be sold.\n You get one for free at round 30."
"notifications_trade_chest_1"						"获得：自然的馈赠NO.1"
"notifications_trade_chest_2"						"获得：自然的馈赠NO.2"
"notifications_trade_chest_3"						"获得：自然的馈赠NO.3"
"notifications_trade_chest_4"						"获得：自然的馈赠NO.4"
"notifications_trade_chest_5"						"获得：自然的馈赠NO.5"


/////////////////////////////////////////////////////////////////////////////////////////////
//Level 1 Chest
"DOTA_Tooltip_ability_item_recipe_mango_tree"	"Recipe: Mango Tree"
"DOTA_Tooltip_ability_item_recipe_broom_handle"	"Recipe: Broom Handle"
"DOTA_Tooltip_ability_item_recipe_elixer"	"Recipe: Elixer"
"DOTA_Tooltip_ability_item_recipe_flicker"	"Recipe: Flicker"
"DOTA_Tooltip_ability_item_recipe_royal_jelly"	"Recipe: Royal Jelly"
"DOTA_Tooltip_ability_item_recipe_spider_legs"	"Recipe: Spider Legs"
"DOTA_Tooltip_ability_item_recipe_trusty_shovel"	"Recipe: Trusty Shovel"
"DOTA_Tooltip_ability_item_flicker_Description"					"<h1>主动： Flicker</h1> Dispells debuffs and blinks you to a random spot within 1500 range. Does not get disabled on incoming damage."


"DOTA_Tooltip_Ability_item_broom_handle_copy"		"扫帚柄 LV2"
"DOTA_Tooltip_Ability_item_broom_handle_copy_melee_attack_range"		"+$attack_range_melee"
"DOTA_Tooltip_Ability_item_broom_handle_copy_bonus_damage"		"+$damage"
"DOTA_Tooltip_Ability_item_broom_handle_copy_bonus_armor"		"+$armor"

/////////////////////////////////////////////////////////////////////////////////////////////
//Level 2 Chest
"DOTA_Tooltip_ability_item_recipe_dragon_scale"	"Recipe: Dragon Scale"
"DOTA_Tooltip_ability_item_recipe_essence_ring"	"Recipe: Essence Ring"
"DOTA_Tooltip_ability_item_recipe_grove_bow"	"Recipe: Grove Bow"
"DOTA_Tooltip_ability_item_recipe_imp_claw"	"Recipe: Imp Claw"
"DOTA_Tooltip_ability_item_recipe_philo_stone_temp"	"Recipe: Philosophers Stone"
"DOTA_Tooltip_ability_item_recipe_pupils_gift"	"Recipe: Pupils Gift"
"DOTA_Tooltip_ability_item_custom_recipe_ring_of_aquila"	"Recipe: Ring Of Aquila"
