
"npc_dota_creature_siltbreaker"										"破泞之主"
"npc_dota_creature_siltbreaker_clone"								"破泞之主（克隆）"
"npc_dota_creature_meranth_minion"									"礁卒变节者"
"DOTA_Tooltip_ability_siltbreaker_kraken_shell"						"海妖外壳"
"DOTA_Tooltip_ability_siltbreaker_tail_spin_ccw"					"甩尾"
"DOTA_Tooltip_ability_siltbreaker_tail_spin_ccw_damage"				"伤害："
"DOTA_Tooltip_ability_siltbreaker_sprint"							"冲刺"
"DOTA_Tooltip_ability_siltbreaker_teleport"							"传送"
"DOTA_Tooltip_ability_siltbreaker_teleport_blast_damage"			"伤害："
"DOTA_Tooltip_ability_siltbreaker_line_wave"						"直线波浪"
"DOTA_Tooltip_ability_siltbreaker_line_wave_bubble_duration"		"持续时间："
"DOTA_Tooltip_ability_siltbreaker_mind_control"						"精神控制"
"DOTA_Tooltip_ability_siltbreaker_summon_minions"					"召唤部下"
"DOTA_Tooltip_ability_siltbreaker_summon_minions_medium"			"召唤部属"
"DOTA_Tooltip_ability_siltbreaker_summon_clone"						"召唤克隆体"
"DOTA_Tooltip_ability_siltbreaker_mouth_beam"						"口部射线"
"DOTA_Tooltip_ability_siltbreaker_mouth_beam_damage_tooltip"		"伤害："
"DOTA_Tooltip_ability_siltbreaker_waves"							"波浪"
"DOTA_Tooltip_ability_siltbreaker_waves_damage"						"伤害："
"DOTA_Tooltip_ability_siltbreaker_torrents"							"洪流"
"DOTA_Tooltip_ability_siltbreaker_torrents_torrent_damage"			"伤害："
"DOTA_Tooltip_ability_siltbreaker_go_phase_two"						"进入第二阶段"
"DOTA_Tooltip_ability_siltbreaker_go_phase_three"					"进入第三阶段"
"DOTA_Tooltip_ability_siltbreaker_mind_control"						"精神控制"
"DOTA_Tooltip_ability_siltbreaker_mind_control_Description"			"控制低等生物的神智。"
"DOTA_Tooltip_modifier_siltbreaker_mind_control"					"精神控制"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_Description"		"这个单位正被高等生物控制。"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_marked"				"精神控制"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_marked_Description"	"这个单位正被高等生物控制。"
"DOTA_Tooltip_modifier_siltbreaker_mind_control_movespeed_bonus"	"移动速度加成："
"DOTA_Tooltip_modifier_siltbreaker_mind_control_attackspeed_bonus"	"攻击速度加成："
"DOTA_Tooltip_modifier_siltbreaker_immune_physical"					"物理免疫"
"DOTA_Tooltip_modifier_siltbreaker_immune_physical_Description"		"这个单位对物理伤害免疫。"
"DOTA_Tooltip_modifier_siltbreaker_immune_magical"					"魔法免疫"
"DOTA_Tooltip_modifier_siltbreaker_immune_magical_Description"		"这个单位对魔法伤害免疫。"
"DOTA_Tooltip_modifier_siltbreaker_attack"							"腐蚀"
"DOTA_Tooltip_modifier_siltbreaker_attack_Description"				"这个单位的护甲被大幅降低。"
"DOTA_Tooltip_modifier_siltbreaker_bubble"							"发呆"
"DOTA_Tooltip_modifier_siltbreaker_bubble_Description"				"白日做梦。"

